How do I know if my business is a permitted service?,You may refer to the list of permitted services and FAQs on the https://covid.gobusiness.gov.sg website. You may also call the Enterprise Infoline at 6898-1800 from 8am to 8pm (Monday to Sunday).
What if my employer operates a non-permitted service but insists that I continue working on-site?,You may report this to Covid_GoBusiness@mti.gov.sg.
What advice does MOH generally have for permitted enterprise workers who have to move around the island a lot?,"Reduce mixing with others wherever possible, and proceed directly from point to point without stopping or dawdling. Workers who are operating outside their home are required to wear a mask at all times."
What is SafeEntry? ,"SafeEntry is a national digital check-in system that logs the NRIC/FINs and contact information of individuals visiting workplaces of permitted enterprises, as well as selected public venues for contact tracing purposes. Please visit https://safeentry.gov.sg/ if you have questions about SafeEntry."
"How long will Phase Two (Heightened Alert) last for? After this Heightened Alert period ends, will we return to Phase Three?","The Phase Two (Heightened Alert) period will last from 16 May to 13 June 2021 (both dates inclusive). If the local COVID situation stabilises and we are able to deploy our enablers (e.g. safe management measures, contact tracing, testing, vaccinations) to allow more activities to resume safely, we may be able to east some of the current measures. However, if the local COVID situation deteriorates and the need for further tightening of measures is required, they would be calibrated accordingly."
Why are we not implementing another Circuit Breaker?,"We are anxious to bring the infection under control so that we can all go back to some sort of a normal life. But we are far from the conditions before Circuit Breaker last year. Compared with last year, unlinked cases are not many, we have high testing capacity, 30% of population has been fully vaccinated, and we have Trace Together. We are mindful the Phase 2 heightened measures have impacted many businesses, and the Government is committed to supporting them through this difficult time. Circuit Breaker is not a decision we should take lightly. We believe these latest sets of measures are already very stringent and will be able to arrest the latest spike in cases and bring the infection under control. As mentioned by the MTF Co-chairs earlier, we will review the situation in two weeks and introduce more or dial back the measures accordingly. If conditions require it, we will not hesitate to take decisive actions."
What is a Community Care Facility (CCF)?,The majority of persons with COVID-19 infection have only mild to no symptoms and do not require acute hospital care. Such patients are admitted to a Community Care Facility where most recover with minimal intervention. Patients in these facilities are monitored closely in case they need to be transferred to hospital for better management and support.
"Can organisations collect, use and disclose personal data (including NRIC/FIN/passport numbers) of visitors to premises for the purposes of contact tracing and other response measures in the event of a COVID-19 case?","Organisations may collect personal data of visitors to premises for purposes of contact tracing and other response measures in the event of an emergency, such as during the outbreak of the COVID-19. In the event of a COVID-19 case, data can be collected, used and disclosed without consent to carry out contact tracing and other response measures, pursuant to sections 1(b) of the Second, Third and Fourth Schedules to the Personal Data Protection Act (PDPA), as this is necessary to respond to an emergency that threatens the life, health or safety of other individuals. As organisations may require NRIC/FIN/passport numbers to accurately identify individuals in the event of a COVID-19 case, organisations may collect visitors’ NRIC, FIN or passport numbers where it is necessary for this purpose. Organisations that collect such personal data must comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession from unauthorised access or disclosure (e.g. Ensure visitor logbooks are kept secured and not visible to other visitors), and ensuring that the personal data is not used for other purposes without consent or authorisation under the law. Organisations should also expunge the data when it is no longer needed for contact tracing-related purposes. Please click here for more FAQs on PDPA."
I have received a call from MOH saying that they are contacting me for contact tracing purposes. How do I verify if that is true?,"To verify the authenticity of a contact tracing call, you may wish to: 1. Take down the number which the caller is calling from 2. Call MOH’s general hotline at 1800-333-9999 and provide them the caller’s number Please note that MOH will not ask for your financial details when conducting tracing or divulge any details of confirmed cases. We will also not ask you to collect documents from us, unless you have existing business with MOH."
I have been informed by MOH that I was in close contact with a confirmed COVID-19 case. What should I do?,"If you have been informed by MOH that you had close contact with a confirmed COVID-19 case and will be placed on quarantine, please return to your place of residence immediately and isolate yourself from the rest of your household. MOH will contact you with further details and arrangements for your quarantine. You should inform your household and workplace close contacts to stay at home and avoid contact with others until your PCR test at entry into quarantine is negative or if you are no longer under quarantine."
